id,requester_label,state,title,volume,volume_bucket,archive_covers_period,condition_id,requestTimestamp_dt,proposalTimestamp_dt,disputeTimestamp_dt,settlementTimestamp_dt,hours_to_dispute,days_dispute_to_settlement,proposed_outcome,settled_outcome,outcome_flipped,went_to_unknown_5050,bond_usdc,reward_usdc,proposer,disputer
YES_OR_NO_QUERY-1751182150-0x0bf7a42b24b91417c1c1976cf99d153ac046f7bffd66c934291c94ddb742b743,uma_adapter_v2,Settled,Will Zelenskyy wear a suit before July?,242231180.272023,high_profile,True,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,2025-06-29 07:29:10+00:00,2025-07-01 03:51:31+00:00,2025-07-01 03:51:59+00:00,2025-07-05 00:27:36+00:00,0.0077777777777777776,3.85806712962963,1.0,-5.789604461865809e+58,True,False,500.0,5.0,0x3e72d5fd634a27aa8fbaf766efc064c414015ddb,0x19d7f71c7e1b9696271fd5a5e29f5754bb21d4f8
YES_OR_NO_QUERY-1750885128-0x0bf7a42b24b91417c1c1976cf99d153ac046f7bffd66c934291c94ddb742b743,uma_adapter_v2,Settled,Will Zelenskyy wear a suit before July?,242231180.272023,high_profile,True,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,2025-06-25 20:58:48+00:00,2025-06-26 08:47:50+00:00,2025-06-26 08:57:40+00:00,2025-06-29 00:29:04+00:00,0.1638888888888889,2.6468055555555554,1.0,-5.789604461865809e+58,True,False,500.0,5.0,0x5fa7a9e0b6905d173390622485afb34e0fe1dc2e,0x397a89e36d2004295c5de5e9698d96eb477f0c6c
YES_OR_NO_QUERY-1748547313-0x0bf7a42b24b91417c1c1976cf99d153ac046f7bffd66c934291c94ddb742b743,uma_adapter_v2,Settled,Will Zelenskyy wear a suit before July?,242231180.272023,high_profile,True,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,2025-05-29 19:35:13+00:00,2025-06-02 04:11:23+00:00,2025-06-02 04:35:09+00:00,2025-06-05 00:41:15+00:00,0.39611111111111114,2.8375694444444446,1.0,-5.789604461865809e+58,True,False,500.0,5.0,0x53266a7a331799830a805958fcee070ccd54eb7b,0xdcfe1241639ad73d5d0d992320de6958cc9168da
YES_OR_NO_QUERY-1747953044-0x0bf7a42b24b91417c1c1976cf99d153ac046f7bffd66c934291c94ddb742b743,uma_adapter_v2,Settled,Will Zelenskyy wear a suit before July?,242231180.272023,high_profile,True,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,2025-05-22 22:30:44+00:00,2025-05-29 18:13:29+00:00,2025-05-29 19:35:13+00:00,2025-06-03 00:30:36+00:00,1.3622222222222222,4.205127314814815,1.0,-5.789604461865809e+58,True,False,500.0,5.0,0x36b09e274b1e5cd62c8d362949881800be786968,0x88a8386b6c4e2ab0bc359b36a555a6be9cb253c5
YES_OR_NO_QUERY-1751675274-0x0bf7a42b24b91417c1c1976cf99d153ac046f7bffd66c934291c94ddb742b743,uma_adapter_v2,Settled,Will Zelenskyy wear a suit before July?,242231180.272023,high_profile,True,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,2025-07-05 00:27:54+00:00,2025-07-05 00:29:18+00:00,2025-07-05 01:09:02+00:00,2025-07-09 00:27:37+00:00,0.6622222222222223,3.971238425925926,0.0,0.0,False,False,500.0,5.0,0xd7f6ebdf0235f587154e2d7d38f9d80568494993,0x29667aec8b35a2d63128f070f44bd5c53d28f903
YES_OR_NO_QUERY-1726617784-0x7560e13437441d181e5d1af6ff7bf4b8996c7aa88f478b3b88ca7d3d999958d3,uma_adapter_v2,Settled,TikTok banned in the US before May 2025?,119653357.735965,high_profile,True,0xef8cf8b45ef7e3a607a72b6e1d56bede869fdd81795b63db847de1090bf11c41,2024-09-18 00:03:04+00:00,2025-01-19 05:00:05+00:00,2025-01-19 06:48:39+00:00,2025-01-22 00:22:55+00:00,1.8094444444444444,2.73212962962963,1.0,1.0,False,False,500.0,5.0,0x8a1dcfa77bf0026aefd9261f0a9d593e1f46d974,0x3db1a2c69883eb389fc8c4640cdfef21dd37a93b
YES_OR_NO_QUERY-1737269319-0x7560e13437441d181e5d1af6ff7bf4b8996c7aa88f478b3b88ca7d3d999958d3,uma_adapter_v2,Settled,TikTok banned in the US before May 2025?,119653357.735965,high_profile,True,0xef8cf8b45ef7e3a607a72b6e1d56bede869fdd81795b63db847de1090bf11c41,2025-01-19 06:48:39+00:00,2025-01-19 06:49:55+00:00,2025-01-19 07:45:03+00:00,2025-01-22 00:23:03+00:00,0.9188888888888889,2.6930555555555555,1.0,1.0,False,False,500.0,5.0,0x8a1dcfa77bf0026aefd9261f0a9d593e1f46d974,0x3db1a2c69883eb389fc8c4640cdfef21dd37a93b
YES_OR_NO_QUERY-1761555679-0x1686e4fa661633bf5382a58b98a400a63298292aed0a681440d96a0e08b5f5e5,neg_risk_uma_adapter,Settled,Fed increases interest rates by 25+ bps after October 2025 meeting?,102216689.131463,high_profile,True,0xd6e0317cee513cc3afdc1954ac576b241ad2287536e88b17fd3a77b4c3d0976e,2025-10-27 09:01:19+00:00,2025-10-27 09:08:01+00:00,2025-10-27 09:09:59+00:00,2025-10-31 00:26:41+00:00,0.03277777777777778,3.636597222222222,0.0,-5.789604461865809e+58,True,False,500.0,5.0,0x670fa272c418fef6cd97b9ee36b50b0b29c81e4f,0xd47086b98d3cfe288e3f82de8a5a2f2218af783e
YES_OR_NO_QUERY-1750351622-0x1686e4fa661633bf5382a58b98a400a63298292aed0a681440d96a0e08b5f5e5,neg_risk_uma_adapter,Settled,Fed increases interest rates by 25+ bps after October 2025 meeting?,102216689.131463,high_profile,True,0xd6e0317cee513cc3afdc1954ac576b241ad2287536e88b17fd3a77b4c3d0976e,2025-06-19 16:47:02+00:00,2025-10-27 08:57:03+00:00,2025-10-27 09:01:19+00:00,2025-10-31 00:41:07+00:00,0.07111111111111111,3.6526388888888888,0.0,-5.789604461865809e+58,True,False,500.0,5.0,0xd2151414915d530a56c03517433105f6772e4164,0xd47086b98d3cfe288e3f82de8a5a2f2218af783e
YES_OR_NO_QUERY-1766182309-0x74ace93c6bc3d695886ffe4fd33a749dac5395fb9afd4ca0e6de986010a7b1ab,managed_adapter_main,Settled,Will Trump release the Epstein files by December 19?,90915983.771306,high_profile,True,0xac9c6628a5398bb2a06f566854270a9fbc7f2badec4329d3b5fdc1407291c35b,2025-12-19 22:11:49+00:00,2025-12-19 22:12:51+00:00,2025-12-19 22:35:39+00:00,2025-12-24 00:37:17+00:00,0.38,4.084467592592593,1.0,1.0,False,False,500.0,5.0,0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,0x461a98d8776fd02df0e29f5713dbf9e5278ce676
